,Worried,TimeWorried,SocDisBelief,LockBelief,Stockpile,leftHome1Week,numPeople1Week,pubSpace2Weeks,SocDisPrac,NatGovTrust,LocGovTrust,Traveled,FollowNews,Am always worried about something; Rarely worry,Am nervous or tense most of the time; Am relaxed most of the time,Am afraid of many things; Am easily frightened,Get stressed out easily; Remain calm under pressure,Get irritated easily; Get angry easily,Am often down in the dumps; Often feel blue,Have a dark outlook on the future; Tend to feel very hopeless,Blame myself when something goes wrong; Am often troubled by feelings of guilt,Feel that my life lacks direction; Am happy with my life,Have a low opinion of myself; Think highly of myself,Avoid changes; Adapt easily to new situations,Take offence easily; My feelings are easily hurt,Need the approval of others; Need reassurance,Feel isolated from other people; Often feel lonely,Hate to hear about the successes of others; Am happy to see others doing well for themselves,Often feel that others misunderstand me; Feel that people are against me,Worry about what people think of me; Am not embarrassed easily,Enjoy social gatherings; Prefer to be alone,Having good friends is important for me; Have no need for close friendships,Act as a leader; See myself as a good leader,Radiate joy; Smile a lot,Find that nothing excites me; Am often bored,Am usually active and full of energy; Often feel tired,Love dangerous situations; Take risks,Am always joking; Have a great sense of humor,Talk a lot; Talking with others energizes me,Love excitement; Have a lot of fun,Am skilled in handling social situations; Find it difficult to approach others,Dont mind being the center of attention; Like to stand out in a crowd,Experience my emotions intensely; Am not easily affected by my emotions,Am full of ideas; Love to think up new ways of doing things,Am open about my feelings; Have difficulty showing affection,Love to learn new things; Am interested in many things,Dislike routine; Prefer variety to routine,Believe in the importance of art; Do not like poetry,Have a vivid imagination; Love to daydream,Find political discussions interesting; Avoid philosophical discussions,Am interested in science; Like to solve complex problems,Spend time reflecting on things; Often think about my experiences and emotions,Want to be in charge; Would like to have more power than other people,Enjoy cooperating with others; Like being part of a team,Am friendly with most people; Like most people,Believe that others have good intentions; Trust others,Cheat to get ahead; Often tell lies,Am quick to judge others; Accept people as they are,Find it easy to manipulate others; Have a natural talent for influencing people,Take advantage of others; Use others to get what I want,Insist on getting my way; Feel frustrated when I dont get my own way,Care about others; Love to help others,Believe that I am better than others; See myself as an average person,Find it hard to forgive others; Get back at people who insult me,Snap at people; Yell at people,Would like for other people to be afraid of me; Enjoy hurting others,Try to out do others; Like to compete and do everything I can to win,Demand a lot from others; Am hard to satisfy,Am quick to correct others; Believe that I am always right,Love order and regularity; Do things in a logical order,Cant make up my mind; Postpone decisions,Keep things tidy; Leave a mess in my room,Start tasks right away; Find it difficult to get down to work,Work hard; Push myself very hard to succeed,Keep my promises; Break my promises,Dont quit a task before it is finished; Often stop working if it becomes too hard,Act without thinking; Make rash decisions,Continue until everything is perfect; Want every detail taken care of,Buy only the things I need; Spend more money than I should,Am able to stand up for myself; Let others take advantage of me,Am able to control my cravings; Easily resist temptations,Am willing to accept responsibilities; Avoid responsibilities,Can maintain interest in something for a long time; My interests change quickly,Am an extremely loyal person; Switch my loyalties when I feel like it,Am always on time; Hardly ever finish things on time,Am easy to fool; Let myself be influenced by others,Am easily distracted; Often forget things,Learn quickly; Am good at many things,Enjoy flirting; Dont think much about sex,Am a spiritual person; Dont consider myself religious,Wear stylish clothing; Love to look my best,Love luxury; Am mainly interested in money,Believe in the power of fate; Believe that all events can be explained scientifically,Am always busy; Have too many things to do,Rebel against authority; Like to be viewed as proper and conventional,Believe in the importance of tradition; Think good manners are very important,Treat all people equally; Treat all ethnicities and religions equally,Feel thankful for what I have received in life; Have been richly blessed in my life,Am quick to admit making a mistake; Easily apologize when I have been wrong,Dislike talking about myself; Dont like to talk about my achievements,Am good at understanding others feelings; Know how to comfort others,Get suspicious when someone treats me nicely; Often feel that others laugh or talk about me,Dont hesitate to express an unpopular opinion; Tell others what I really think,Am usually a patient person; Hate waiting for anything,Am good at saving money,Cry easily,Like to read,Consider myself good-looking,Support liberal political candidates,Make friends easily,Get deeply immersed in music,Have strong sexual urges
1,5,6,6,6,5,3,1,1,6,3,5,1,4,1.257898556,0.322274858,-0.659493312,-0.619095644,1.053796906,1.059116008,-0.047151739,1.039844368,1.012994227,-0.518380847,-0.892149576,1.441550218,-0.073445656,1.073837292,-0.471192378,0.30897822,0.253908634,0.707704755,0.744788618,0.195187452,0.291251085,0.525044187,-0.39382943,1.954628414,-0.048203556,0.639173207,0.340376093,1.595145676,0.238705098,1.129606445,1.559639808,0.22929631,1.170555098,-1.111247591,1.412976169,1.309746697,0.847723933,1.219706238,1.376782522,-0.584232099,0.298272615,-0.269271713,1.210175828,-0.256151016,0.829886959,1.525868466,0.369976266,0.420488947,-0.679981972,1.292517914,0.764190513,0.248173192,-0.784748642,-1.901473995,-0.90277084,0.929644402,1.00915716,1.070349603,1.557464146,0.053113521,-0.686918179,-1.019454689,0.827687599,-1.122908108,0.909146072,-1.446721703,0.579978662,-1.565813667,-0.117232003,0.2260387,1.176021839,1.289441075,1.563348694,0.682334125,1.589289407,1.030316173,1.039311964,-0.551666345,-0.158697475,0.881495696,-1.121047155,1.92384882,0.307492689,0.580287212,0.365510353,-0.657031701,-1.587419427,1.039288393,-0.176597478,0.537194707,-1.516148979,3,4,6,4,2.5,6,6,5.5
2,5,5,5,5,4,1,3,1,6,5,5,1,6,0.152738322,-1.104916424,-0.657606297,-0.472061857,1.246771013,-1.054667434,0.143607741,-1.103764979,0.009073693,-0.728291922,0.183551622,-1.332236473,-0.092948032,-0.791540168,0.369258939,0.319451227,-0.569128325,0.513145736,0.045219372,0.923959,1.092480266,-0.489349808,1.480297932,0.255998358,1.566255963,1.114273565,0.094830776,1.022822539,1.150267775,-0.764845796,0.619025349,0.780998898,0.016504594,-0.714236462,-0.856585362,-1.361019604,0.95697104,0.337909809,-0.814448872,1.133418275,-0.377783289,0.392830588,0.527972135,0.93915926,0.690229035,0.693620063,0.819194677,1.133868294,1.033640086,0.23858134,-0.029925663,0.454712537,0.589273628,0.27607203,0.577846711,0.747907329,0.494872462,0.422782325,-0.118996513,0.646392037,-0.058620124,0.075654373,-0.192767615,0.428925725,-0.047004398,0.538940228,0.360104199,0.590651506,-0.028555275,0.257899167,-0.522021426,0.706970121,0.208980942,0.668912638,0.841348505,1.221637782,-0.876859675,0.520713224,0.975078072,0.416671072,0.535230927,-0.959682145,0.031346354,0.334800386,-0.352591791,0.194887578,0.281572597,0.830001667,0.061314293,0.537194707,-1.723866607,5.5,1,6,5,5,5,5,5
3,4,5,5,5,6,2,1,1,3,1,1,1,4,0.361291791,0.89914859,1.379030745,0.488339027,0.487898476,1.659805691,1.278027809,-0.71293844,1.829264695,-1.532953347,0.618137154,1.230640516,0.84572937,1.130488675,-0.960917663,1.164349307,0.855078675,-1.63666835,-0.266920454,0.552901443,-1.102143639,-0.679715506,-0.394882258,-1.159719382,1.341416104,0.025031442,0.09721186,0.459855489,0.77047314,1.133262429,0.598748409,0.598566914,0.869439385,-0.10062702,1.073564406,0.205185946,0.847723933,-0.763714508,1.376782522,-0.000235309,0.53655286,0.092403792,2.607181182,0.441148729,1.402732473,0.492188006,-0.961383057,-0.541085621,0.700766772,-0.350262644,0.96326217,0.892522109,-0.784748642,-0.738306002,-0.034434605,0.566170255,-0.008957364,-0.389773954,-0.238896622,-0.146438557,-0.487332685,0.033496548,-1.230153799,0.420294226,0.939670211,1.110002583,0.579978662,-0.271031615,0.060121453,-1.097689896,-0.74396515,-0.758315247,0.228917339,0.26771639,0.567465702,0.839792933,0.560302276,0.335823002,0.403711429,-0.111086045,0.134617341,2.11786256,-0.664587366,-2.290988463,0.768855675,0.068930745,-0.567955526,0.608452065,0.414969499,0.992225175,-0.272791699,4.5,4.5,6,5,5,3.5,6,3
4,6,5,5,5,2,1,1,1,6,1,5,1,6,0.160537433,0.939724876,-0.456584413,0.508814659,-0.077999953,-1.252124035,-0.995035999,0.390445675,-0.531986433,0.111352381,-1.511739979,0.31030386,-0.053943281,-0.018951872,-0.401692752,-1.813739987,0.642416144,-0.268848903,-0.172180361,0.556237335,-2.094923773,0.081747287,-0.39382943,-0.489298795,-2.540085176,-1.646950684,0.099592943,-1.07413628,-1.426612402,-0.133361716,-1.55311877,-1.43021809,0.89464556,0.946179049,-1.582947694,-1.410570851,-1.730148031,-0.765205432,-0.545891389,-0.372396504,0.079384786,0.392830588,0.744507376,-0.928592736,-1.160858524,-1.795547952,-1.19006624,0.658282063,0.729128555,-0.95119495,-0.627683247,-0.829039121,-0.784748642,-0.776938606,-0.886362057,-1.665930711,-0.0141848,0.867210534,0.984421077,1.240342768,1.057473634,1.12860561,0.827687599,1.097080047,-0.108052675,1.246240016,0.504622552,0.590651506,1.088695312,0.720382343,-0.15035258,1.289441075,1.111892777,1.705456975,1.352260357,-1.645791249,-1.036544336,-0.551666345,-0.905590102,0.881495696,-0.897673046,-1.347709626,-0.467591742,1.060608544,0.680267175,-1.764815287,1.542460702,-1.459071604,-0.322882998,-0.595283823,0.554147496,6,1,6,4,1,1.5,1,2
5,5,5,6,5,4,1,1,1,6,5,5,1,5,0.601041705,0.919436733,1.178008861,0.758226605,-0.83687249,-0.857210834,-1.374865491,-0.063539747,-1.160606836,-0.693309044,-0.849099049,-0.555703591,-0.992620683,-1.724228899,-1.030417289,-1.391290947,-0.356465795,0.317512842,-0.654349874,0.195187452,0.482802038,1.286506981,-0.18606098,-0.965965246,0.320315153,1.114273565,0.094830776,0.835166856,0.77047314,0.28640901,0.368664029,-0.700490156,1.170555098,0.350662355,1.073564406,0.848101898,1.323754521,1.219706238,0.010665182,-0.5756471,-0.864039987,-1.23180081,-1.118166429,-0.704445496,-1.23424094,-0.758078896,-0.512164646,-0.789280842,-0.403832223,-0.141892994,-1.421256811,-0.179744027,-0.440509652,-0.34414457,-0.894566448,-0.991116293,0.240343831,0.841777154,-0.401465279,-0.144421913,-0.272976405,-0.471900158,-0.192767615,-0.015071906,-0.802272424,-0.706951903,-0.889980335,-0.488032554,0.588589041,0.903833231,-0.15035258,0.146491795,-0.232506777,0.100671985,0.093407604,-0.307338354,-1.036544336,-0.502356859,-0.721106379,-1.471646798,0.935844512,0.329904247,-1.137729326,0.815121718,1.486957818,0.194887578,-1.390675489,-1.237522002,-1.18290383,-0.838091979,1.386000837,4,4.5,5.5,3.5,5.5,5,4.5,2
6,4,5,6,4,5,1,1,1,6,4,4,3,4,-0.93682369,-0.274887018,-0.86240221,-0.660046908,-0.27097406,-0.092344073,-0.426981231,-0.454366287,-0.156686303,0.251297699,0.226602149,-0.533334949,-0.303239413,0.499117019,0.648871394,0.082044191,-0.347261407,0.12134301,-0.919119653,0.375712393,-0.492465411,-0.692228607,0.231581577,-0.101790522,-0.39478493,0.229745364,-0.15547671,0.262843719,0.408181848,-0.337763102,-0.36214299,0.2160764,-0.560520658,-0.515730897,-0.363313988,-0.924150428,-0.044519892,-0.765205432,-0.542003068,0.177260289,0.317665031,-0.048570946,0.051437694,-0.019574764,0.690229035,0.48839941,0.827342632,-0.075901496,1.338151618,0.054388334,-0.22899732,-0.184690204,-0.556233878,-0.098773099,0.792879672,-0.134564802,-0.533696935,0.016504186,0.291477899,0.448184388,-0.07339091,-0.766756336,0.220493761,-0.459069537,-0.339459258,-0.16835956,-0.155000836,-0.271934563,-0.322946775,-0.236444477,-0.81618375,0.157488108,0.208980942,-0.300524263,0.093407604,0.266094228,-0.397805691,-0.551666345,0.412669167,0.121326267,0.311856817,0.288069597,-0.362644895,-0.380355453,-0.15091913,-0.171569049,-0.550083419,-0.548347446,-0.19186852,-0.605479104,-0.482474985,3,2.5,4,3,5.5,3.5,3,4
7,4,5,4,4,4,1,1,1,6,4,3,1,4,-0.287765949,0.10969547,-1.067198123,0.091893294,1.246771013,0.302569128,0.330988283,-0.90835171,0.991104158,-1.043165438,-1.077154447,-0.555703591,-2.503665101,-1.526360876,0.018532906,0.720954254,-0.920818284,-0.268848903,-1.836088633,-0.533584095,0.291251085,0.690383684,0.231581577,1.343646611,0.136055798,0.434459285,-0.15547671,0.262843719,-0.69619537,0.082007623,0.849109729,0.589753641,1.170555098,1.144684613,-1.275228469,0.411232722,0.322263589,1.219706238,-0.814448872,-1.142473892,-0.15889546,0.392830588,1.686710269,0.478435767,1.050034208,0.689831467,1.284708998,0.16189162,1.309789835,-0.338174322,1.561019754,1.10400763,0.132244101,-0.906412265,-0.249467566,0.306671263,0.245571267,-0.186634884,0.821852419,0.446167744,1.271829914,-0.219201805,1.257879945,1.088448548,-1.326133867,1.447417471,0.504622552,0.374553515,0.88298054,0.688521876,-1.038127474,1.289441075,1.784092554,1.304260727,0.604319456,-1.263414154,-1.036544336,-0.502356859,-1.270078677,-0.319286954,-0.897673046,1.064124559,-0.283494185,0.334800386,-0.094377049,-0.171569049,-0.344403429,-0.105248242,0.26868398,0.092359519,-1.30941418,6,3.5,6,2.5,4,4.5,4.5,1.5
8,2,5,6,5,1,1,1,1,6,4,4,1,4,-0.72047111,-0.082595774,-0.659493312,-0.055140492,-1.216308758,0.689162449,0.331833018,-0.454366287,0.637694096,0.671119851,-0.207983383,-0.721876009,-1.833786207,0.339016585,1.977434044,-0.546392866,-0.541515162,-1.441572394,-1.883458679,-0.897969869,-1.119656323,-0.286471009,0.438297198,-0.578456973,-1.375305376,-0.492698105,-2.148412256,0.075188036,-0.877341016,-1.180960538,-1.55311877,0.04245769,-1.13754591,0.097878545,-1.089676319,-0.948926052,0.297548711,-0.766199381,-1.367117122,-0.964978293,0.774833105,0.552282646,0.289704914,0.926730247,0.051108013,-0.13862834,0.369976266,-0.572291939,1.890451115,-0.338174322,-0.825127065,0.459658713,-0.096270662,-0.324828268,-0.894566448,-1.017036932,-0.533696935,1.057632913,0.086240693,0.448856603,-0.50210347,-0.808914161,0.009630331,-0.234912846,-1.094727284,0.136585317,-0.374875299,0.589748558,-0.617338274,-0.483616298,-1.920614446,-0.036668876,-0.252443175,0.889642993,-1.476181706,-0.689981572,-0.876859675,-1.34053672,-0.703190903,-0.871255473,-0.897673046,-0.529820015,-0.848684923,-0.625842278,-1.328908676,-0.89306843,-0.75576341,-1.237522002,-0.19186852,-0.140253355,0.141660728,4,1.5,3,2.5,1.5,2.5,3,3
9,6,4,6,6,5,1,1,1,6,2,4,1,6,1.474251136,0.301986715,1.788622571,1.363133021,1.04728496,-0.125623595,0.330143549,1.752401943,0.637694096,1.965582987,0.682712945,1.863369623,1.897186276,-0.018951872,0.228645736,0.731427261,1.641298082,-0.659577754,1.009558398,-1.810602249,1.074967582,1.058601981,-0.602650708,-1.159719382,-1.028724002,0.769120534,0.349900429,-0.309479417,-1.239632308,1.549377171,-0.13205861,0.40291502,-0.335023468,-0.912742026,0.501061687,0.848101898,-1.388079428,-0.102242943,1.376782522,-1.531805085,1.022809559,-0.870125305,-1.811236112,1.848177232,2.188618328,0.484610813,1.505244226,0.399684735,-1.012855286,-0.95119495,0.168603381,0.678563499,0.936446307,-0.887095963,-1.084986235,1.189143394,-1.318192573,-0.846918852,-0.85460824,-1.332323375,-1.618197228,-3.167514989,-2.259074498,-2.23506006,-0.710700009,-1.038009405,-2.466779631,-2.213204692,-1.823265589,-0.483616298,-2.14255817,-0.446975472,-2.730466622,0.461603771,-1.676357001,0.07583711,1.199005485,0.200242266,-1.090073824,2.266267852,-1.313664842,0.073138532,0.898479563,-2.066806275,0.768855675,-0.784963855,-0.156595545,0.817738791,0.622339186,-2.63782329,-1.722883777,1.5,4.5,6,1,2,3,4,1.5
10,6,5,6,6,2,1,1,1,6,5,5,1,6,1.257898556,1.344595508,0.975099963,1.342657389,1.806157497,0.285929367,1.088957798,1.29841652,0.030963763,-0.23849021,0.661187681,1.885738265,-0.264234662,1.469573338,0.15914611,1.576325341,1.252790572,-1.832301245,-1.08914934,0.375712393,0.273738401,0.880749383,0.439350026,-0.965965246,1.566255963,-1.387718089,-0.65609168,-1.829437057,-1.426612402,1.133262429,0.368664029,-1.990733952,1.170555098,-0.714236462,0.225035,-0.244071041,-1.144870336,0.779056511,0.551668468,1.319498872,0.774833105,2.636792899,1.437577059,1.113590448,1.329350057,0.689831467,1.276561043,1.133868294,1.033640086,2.065554903,1.759006186,2.181219942,1.85050536,0.218123124,0.991503849,1.630379459,-0.0141848,-0.605629713,-0.076327965,1.041462904,1.257059128,-0.219201805,0.836153084,1.092764297,1.402483377,1.04506256,0.799853125,-0.487129606,0.382874269,0.903833231,-0.005915379,0.728962748,1.342604835,0.07382901,0.841348505,-1.837112858,-1.036544336,0.015352043,-0.343181197,-1.287657291,1.552143102,0.891028143,-0.664587366,-1.106163611,0.567183014,-1.872919863,0.040148393,-0.080722491,0.829708873,0.769807581,-1.723866607,5,5,4,1,4.5,1,4,1
