"","item1","item2","rTT","Intercorrelations","reliabCorrectCorrelations","item1_rTT","item2_rTT"
"1","Keep my promises","Break my promises",0.723324617932006,-0.773266285942088,-1.20823351736713,0.646475322885305,0.633584349362971
"2","Am able to control my cravings","Easily resist temptations",0.67605965828516,0.666642353691801,1.1562909251157,0.580936370326311,0.572167259485603
"3","Act without thinking","Make rash decisions",0.693755351454089,0.646558101430574,1.1054183121362,0.584909768038899,0.58488829743736
"4","Am always worried about something","Rarely worry",0.740962052948482,-0.681996676179722,-1.0847712712339,0.672376137194481,0.58786265859345
"5","Spend time reflecting on things","Often think about my experiences and emotions",0.697992144548901,0.62573672312406,1.06869039047059,0.574554305486827,0.596689499241164
"6","Get irritated easily","Get angry easily",0.814906355786551,0.772987697286476,1.06446642080258,0.709223143264766,0.743529720364177
"7","Continue until everything is perfect","Want every detail taken care of",0.726916563961959,0.636266319604126,1.03310732633229,0.671062630536129,0.565228343791348
"8","Act as a leader","See myself as a good leader",0.891835423556214,0.825766912751233,1.01595803268706,0.828388165431536,0.797497870425504
"9","Work hard","Push myself very hard to succeed",0.777241218880929,0.687423585613652,1.00452294614731,0.716586820874375,0.65352215861587
"10","Hate to hear about the successes of others","Am happy to see others doing well for themselves",0.804801696314474,-0.68251505275546,-0.996309967888946,0.646039144506678,0.726401419367817
"11","Experience my emotions intensely","Am not easily affected by my emotions",0.718378022315853,-0.590075379564678,-0.990691595410542,0.625166445677664,0.567469300076206
"12","Enjoy cooperating with others","Like being part of a team",0.804958119154124,0.67737370469477,0.976367545194908,0.636137050259149,0.756622595186062
"13","Believe that others have good intentions","Trust others",0.747385021564056,0.645990387273563,0.962891468471172,0.665176234167329,0.676644738907685
"14","Dislike routine","Prefer variety to routine",0.768415098863121,0.633084106128372,0.960159079172292,0.675625114456577,0.643473476450972
"15","Dont hesitate to express an unpopular opinion","Tell others what I really think",0.715585233297046,0.594589624751429,0.959586962111127,0.645114840576349,0.595153433680051
"16","Having good friends is important for me","Have no need for close friendships",0.813978052540238,-0.684739680891227,-0.952586223032568,0.739684242996676,0.698547644572724
"17","Am often down in the dumps","Often feel blue",0.823075091158396,0.696925812846667,0.945035471120876,0.702859591309375,0.773763617971483
"18","Care about others","Love to help others",0.772281060078698,0.627199579914316,0.943627173571428,0.665277783846068,0.664060455787358
"19","Treat all people equally","Treat all ethnicities and religions equally",0.763397774439832,0.633829960341861,0.939756655057894,0.679519416413372,0.669441816959493
"20","Am skilled in handling social situations","Find it difficult to approach others",0.863741856689043,-0.702625022815592,-0.928720171194098,0.799113477729253,0.716257220139525
"21","Need the approval of others","Need reassurance",0.730340392999863,0.590676546449855,0.922112408391505,0.640623281161044,0.640514556702521
"22","Feel isolated from other people","Often feel lonely",0.800480385639064,0.641436183747647,0.916764614401093,0.674290999733926,0.726012107659835
"23","Am quick to admit making a mistake","Easily apologize when I have been wrong",0.774353301904729,0.609960119003651,0.914502506447351,0.674629203674578,0.659428849876557
"24","Start tasks right away","Find it difficult to get down to work",0.773770084648097,-0.614970757191917,-0.912829815337839,0.702174957945697,0.646374119627108
"25","Take advantage of others","Use others to get what I want",0.760145637046024,0.618688109349108,0.905454024998098,0.691895085130274,0.674792871090142
"26","Keep things tidy","Leave a mess in my room",0.848890445749061,-0.694502872806712,-0.899562819030057,0.742760617051119,0.80248372106799
"27","Am afraid of many things","Am easily frightened",0.794163505516395,0.6016120810506,0.889152884890448,0.678430804007935,0.674799349130956
"28","Insist on getting my way","Feel frustrated when I dont get my own way",0.710616705719163,0.532273538850655,0.887800716034101,0.614064131551461,0.585362693838212
"29","Am friendly with most people","Like most people",0.745556803610131,0.555217244665417,0.878633598190197,0.560252985617633,0.712731742129009
"30","Am nervous or tense most of the time","Am relaxed most of the time",0.79464961419116,-0.618679165084508,-0.877620313227808,0.713003001265322,0.696989587385757
"31","Am willing to accept responsibilities","Avoid responsibilities",0.741314999479855,-0.557941003901957,-0.877322294453022,0.609813736008273,0.663225208492763
"32","Radiate joy","Smile a lot",0.810171505804362,0.661063070086745,0.874884429884875,0.732930138514211,0.77897198116951
